id,ranks,clusters_0,clusters_1,clusters_2
1.00E+00,-1.31E+00,0.00E+00,2.00E+00,2.00E+00
2.00E+00,-1.44E+00,0.00E+00,2.00E+00,2.00E+00
3.00E+00,-1.01E+00,0.00E+00,2.00E+00,0.00E+00
4.00E+00,-2.26E+00,0.00E+00,2.00E+00,2.00E+00
5.00E+00,-1.86E+00,0.00E+00,2.00E+00,2.00E+00
6.00E+00,-1.15E+00,0.00E+00,2.00E+00,2.00E+00
7.00E+00,-1.30E+00,0.00E+00,2.00E+00,2.00E+00
8.00E+00,-1.56E+00,0.00E+00,2.00E+00,2.00E+00
9.00E+00,-2.33E+00,0.00E+00,2.00E+00,2.00E+00
1.00E+01,-4.51E-01,0.00E+00,0.00E+00,0.00E+00
1.10E+01,-1.42E+00,0.00E+00,2.00E+00,2.00E+00
1.20E+01,-1.66E+00,0.00E+00,2.00E+00,2.00E+00
1.30E+01,-1.65E+00,0.00E+00,2.00E+00,2.00E+00
1.40E+01,-2.47E+00,0.00E+00,2.00E+00,2.00E+00
1.50E+01,-1.91E+00,0.00E+00,2.00E+00,2.00E+00
1.60E+01,-1.77E+00,0.00E+00,2.00E+00,2.00E+00
1.70E+01,-1.12E+00,0.00E+00,2.00E+00,2.00E+00
1.80E+01,-1.85E+00,0.00E+00,2.00E+00,2.00E+00
1.90E+01,-2.60E+00,0.00E+00,2.00E+00,2.00E+00
2.00E+01,-1.46E+00,0.00E+00,2.00E+00,2.00E+00
2.10E+01,-2.01E+00,0.00E+00,2.00E+00,2.00E+00
2.20E+01,-3.39E+00,0.00E+00,2.00E+00,2.00E+00
2.30E+01,-1.62E+00,0.00E+00,2.00E+00,2.00E+00
2.40E+01,-1.10E+00,0.00E+00,2.00E+00,2.00E+00
2.50E+01,-1.02E+00,0.00E+00,2.00E+00,2.00E+00
2.60E+01,-2.38E+00,0.00E+00,2.00E+00,2.00E+00
2.70E+01,-1.30E+00,0.00E+00,2.00E+00,2.00E+00
2.80E+01,-2.79E+00,0.00E+00,2.00E+00,2.00E+00
2.90E+01,-2.03E+00,0.00E+00,2.00E+00,2.00E+00
3.00E+01,-1.62E+00,0.00E+00,2.00E+00,2.00E+00
